DEBUG:root:{TICK: 0, IP: 23, ADDR: 0, DATA: 3, ACC: 0, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 2, IP: 24, ADDR: 20, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': [<Opcode.DATA: 'data'>, 0]}, SR: 0} INC
DEBUG:root:{TICK: 3, IP: 25, ADDR: 20, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} ST 20
DEBUG:root:{TICK: 5, IP: 26, ADDR: 20, DATA: {'term': ['data', 1]}, ACC: {'term': ['data', 1]}, SR: 0} CMP 22
DEBUG:root:{TICK: 7, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 8, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 10, IP: 29, ADDR: 20, DATA: {'term': ['data', 1]}, ACC: {'term': ['data', 1]}, SR: 0} MOD 18
DEBUG:root:{TICK: 12, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 1]}, SR: 0} CMP 21
DEBUG:root:{TICK: 14, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 15, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 17, IP: 33, ADDR: 20, DATA: {'term': ['data', 1]}, ACC: {'term': ['data', 1]}, SR: 0} MOD 19
DEBUG:root:{TICK: 19, IP: 34, ADDR: 19, DATA: {'term': [<Opcode.DATA: 'data'>, 5]}, ACC: {'term': ['data', 1]}, SR: 0} CMP 21
DEBUG:root:{TICK: 21, IP: 35, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 22, IP: 36, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JMP 23
DEBUG:root:{TICK: 23, IP: 23, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 25, IP: 24, ADDR: 20, DATA: {'term': ['data', 1]}, ACC: {'term': ['data', 1]}, SR: 0} INC
DEBUG:root:{TICK: 26, IP: 25, ADDR: 20, DATA: {'term': ['data', 1]}, ACC: {'term': ['data', 2]}, SR: 0} ST 20
DEBUG:root:{TICK: 28, IP: 26, ADDR: 20, DATA: {'term': ['data', 2]}, ACC: {'term': ['data', 2]}, SR: 0} CMP 22
DEBUG:root:{TICK: 30, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 31, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 33, IP: 29, ADDR: 20, DATA: {'term': ['data', 2]}, ACC: {'term': ['data', 2]}, SR: 0} MOD 18
DEBUG:root:{TICK: 35, IP: 30, ADDR: 18, DATA: {'term': [<Opcode.DATA: 'data'>, 3]}, ACC: {'term': ['data', 2]}, SR: 0} CMP 21
DEBUG:root:{TICK: 37, IP: 31, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 38, IP: 32, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 40, IP: 33, ADDR: 20, DATA: {'term': ['data', 2]}, ACC: {'term': ['data', 2]}, SR: 0} MOD 19
DEBUG:root:{TICK: 42, IP: 34, ADDR: 19, DATA: {'term': [<Opcode.DATA: 'data'>, 5]}, ACC: {'term': ['data', 2]}, SR: 0} CMP 21
DEBUG:root:{TICK: 44, IP: 35, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JE 37
DEBUG:root:{TICK: 45, IP: 36, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} JMP 23
DEBUG:root:{TICK: 46, IP: 23, ADDR: 21, DATA: {'term': [<Opcode.DATA: 'data'>, 0]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 48, IP: 24, ADDR: 20, DATA: {'term': ['data', 2]}, ACC: {'term': ['data', 2]}, SR: 0} INC
DEBUG:root:{TICK: 49, IP: 25, ADDR: 20, DATA: {'term': ['data', 2]}, ACC: {'term': ['data', 3]}, SR: 0} ST 20
DEBUG:root:{TICK: 51, IP: 26, ADDR: 20, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 3]}, SR: 0} CMP 22
DEBUG:root:{TICK: 53, IP: 27, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} JE 41
DEBUG:root:{TICK: 54, IP: 28, ADDR: 22, DATA: {'term': [<Opcode.DATA: 'data'>, 1000]}, ACC: {'term': ['data', 1]}, SR: 0} LD_VAL 20
DEBUG:root:{TICK: 56, IP: 29, ADDR: 20, DATA: {'term': ['data', 3]}, ACC: {'term': ['data', 3]}, SR: 0} MOD 18
